trainable params: 21,127,392 || all params: 6,759,543,008 || trainable%: 0.3125565141755216
{'loss': 0.8776, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8733, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8644, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8798, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8773, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.8862, 'learning_rate': 0.0003, 'epoch': 0.11}
{'loss': 0.5899, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.4772, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.4897, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.4853, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.5014, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.5291, 'learning_rate': 0.0003, 'epoch': 1.11}
